airport_code,airport_name,state,city
ABE, Lehigh Valley International, PA,Allentown/Bethlehem/Easton
ABY, Southwest Georgia Regional, GA,Albany
ACK, Nantucket Memorial, MA,Nantucket
AEX, Alexandria International, LA,Alexandria
AGS, Augusta Regional at Bush Field, GA,Augusta
ALB, Albany International, NY,Albany
ATL, Hartsfield-Jackson Atlanta International, GA,Atlanta
ATW, Appleton International, WI,Appleton
AUS, Austin - Bergstrom International, TX,Austin
AVL, Asheville Regional, NC,Asheville
AZO, Kalamazoo/Battle Creek International, MI,Kalamazoo
BGM, Greater Binghamton/Edwin A. Link Field, NY,Binghamton
BGR, Bangor International, ME,Bangor
BHM, Birmingham-Shuttlesworth International, AL,Birmingham
BMI, Central Il Regional Airport at Bloomington, IL,Bloomington/Normal
BNA, Nashville International, TN,Nashville
BOS, Logan International, MA,Boston
BQK, Brunswick Golden Isles, GA,Brunswick
BTR, Baton Rouge Metropolitan/Ryan Field, LA,Baton Rouge
BTV, Burlington International, VT,Burlington
BUF, Buffalo Niagara International, NY,Buffalo
BWI, Baltimore/Washington International Thurgood Marshall, MD,Baltimore
CAE, Columbia Metropolitan, SC,Columbia
CHA, Lovell Field, TN,Chattanooga
CHO, Charlottesville Albemarle, VA,Charlottesville
CHS, Charleston AFB/International, SC,Charleston
CID, The Eastern Iowa, IA,Cedar Rapids/Iowa City
CLE, Cleveland-Hopkins International, OH,Cleveland
CLT, Charlotte Douglas International, NC,Charlotte
CMH, John Glenn Columbus International, OH,Columbus
CRW, Yeager, WV,Charleston/Dunbar
CSG, Columbus Airport, GA,Columbus
CVG, Cincinnati/Northern Kentucky International, OH,Cincinnati
CWA, Central Wisconsin, WI,Mosinee
DAY, James M Cox/Dayton International, OH,Dayton
DCA, Ronald Reagan Washington National, DC,Washington
DHN, Dothan Regional, AL,Dothan
DLH, Duluth International, MN,Duluth
DSM, Des Moines International, IA,Des Moines
DTW, Detroit Metro Wayne County, MI,Detroit
EVV, Evansville Regional, IN,Evansville
EWR, Newark Liberty International, NJ,Newark
EYW, Key West International, FL,Key West
FAY, Fayetteville Regional/Grannis Field, NC,Fayetteville
FSD, Joe Foss Field, SD,Sioux Falls
FWA, Fort Wayne International, IN,Fort Wayne
GNV, Gainesville Regional, FL,Gainesville
GPT, Gulfport-Biloxi International, MS,Gulfport/Biloxi
GRR, Gerald R. Ford International, MI,Grand Rapids
GSO, Piedmont Triad International, NC,Greensboro/High Point
GSP, Greenville-Spartanburg International, SC,Greer
GTR, Golden Triangle Regional, MS,Columbus
HPN, Westchester County, NY,White Plains
ILM, Wilmington International, NC,Wilmington
IND, Indianapolis International, IN,Indianapolis
ITH, Ithaca Tompkins Regional, NY,Ithaca/Cortland
JFK, John F. Kennedy International, NY,New York
LAN, Capital Region International, MI,Lansing
LEX, Blue Grass, KY,Lexington
LFT, Lafayette Regional Paul Fournet Field, LA,Lafayette
LGA, LaGuardia, NY,New York
MBS, MBS International, MI,Saginaw/Bay City/Midland
MCI, Kansas City International, MO,Kansas City
MEM, Memphis International, TN,Memphis
MGM, Montgomery Regional, AL,Montgomery
MKE, General Mitchell International, WI,Milwaukee
MLI, Quad City International, IL,Moline
MLU, Monroe Regional, LA,Monroe
MOB, Mobile Regional, AL,Mobile
MOT, Minot International, ND,Minot
MSN, Dane County Regional-Truax Field, WI,Madison
MSP, Minneapolis-St Paul International, MN,Minneapolis
MYR, Myrtle Beach International, SC,Myrtle Beach
OAJ, Albert J Ellis, NC,Jacksonville/Camp Lejeune
OMA, Eppley Airfield, NE,Omaha
ORD, Chicago O'Hare International, IL,Chicago
ORF, Norfolk International, VA,Norfolk
ORH, Worcester Regional, MA,Worcester
PIT, Pittsburgh International, PA,Pittsburgh
PVD, Theodore Francis Green State, RI,Providence
RDU, Raleigh-Durham International, NC,Raleigh/Durham
RIC, Richmond International, VA,Richmond
ROA, Roanoke Blacksburg Regional Woodrum Field, VA,Roanoke
ROC, Greater Rochester International, NY,Rochester
RST, Rochester International, MN,Rochester
SAV, Savannah/Hilton Head International, GA,Savannah
SBN, South Bend International, IN,South Bend
SDF, Louisville Muhammad Ali International, KY,Louisville
SGF, Springfield-Branson National, MO,Springfield
SHV, Shreveport Regional, LA,Shreveport
STL, St Louis Lambert International, MO,St. Louis
SYR, Syracuse Hancock International, NY,Syracuse
TLH, Tallahassee International, FL,Tallahassee
TRI, Tri Cities, TN,Bristol/Johnson City/Kingsport
TVC, Cherry Capital, MI,Traverse City
TYS, McGhee Tyson, TN,Knoxville
VLD, Valdosta Regional, GA,Valdosta
XNA, Northwest Arkansas Regional, AR,Fayetteville
ABQ, Albuquerque International Sunport, NM,Albuquerque
AMA, Rick Husband Amarillo International, TX,Amarillo
ANC, Ted Stevens Anchorage International, AK,Anchorage
AVP, Wilkes Barre Scranton International, PA,Scranton/Wilkes-Barre
BDL, Bradley International, CT,Hartford
BOI, Boise Air Terminal, ID,Boise
BUR, Bob Hope, CA,Burbank
BZN, Bozeman Yellowstone International, MT,Bozeman
COS, City of Colorado Springs Municipal, CO,Colorado Springs
DEN, Denver International, CO,Denver
DFW, Dallas/Fort Worth International, TX,Dallas/Fort Worth
EGE, Eagle County Regional, CO,Eagle
ELP, El Paso International, TX,El Paso
EUG, Mahlon Sweet Field, OR,Eugene
FAT, Fresno Yosemite International, CA,Fresno
FCA, Glacier Park International, MT,Kalispell
FLL, Fort Lauderdale-Hollywood International, FL,Fort Lauderdale
GEG, Spokane International, WA,Spokane
HNL, Daniel K Inouye International, HI,Honolulu
IAD, Washington Dulles International, DC,Washington
IAH, George Bush Intercontinental/Houston, TX,Houston
ICT, Wichita Dwight D Eisenhower National, KS,Wichita
JAX, Jacksonville International, FL,Jacksonville
KOA, Ellison Onizuka Kona International at Keahole, HI,Kona
LAS, McCarran International, NV,Las Vegas
LAX, Los Angeles International, CA,Los Angeles
LBB, Lubbock Preston Smith International, TX,Lubbock
LIH, Lihue Airport, HI,Lihue
LIT, Bill and Hillary Clinton Nat Adams Field, AR,Little Rock
MCO, Orlando International, FL,Orlando
MDT, Harrisburg International, PA,Harrisburg
MFE, McAllen Miller International, TX,Mission/McAllen/Edinburg
MIA, Miami International, FL,Miami
MSO, Missoula International, MT,Missoula
MSY, Louis Armstrong New Orleans International, LA,New Orleans
OGG, Kahului Airport, HI,Kahului
OKC, Will Rogers World, OK,Oklahoma City
ONT, Ontario International, CA,Ontario
PBI, Palm Beach International, FL,West Palm Beach/Palm Beach
PDX, Portland International, OR,Portland
PHL, Philadelphia International, PA,Philadelphia
PHX, Phoenix Sky Harbor International, AZ,Phoenix
PNS, Pensacola International, FL,Pensacola
PSP, Palm Springs International, CA,Palm Springs
PWM, Portland International Jetport, ME,Portland
RNO, Reno/Tahoe International, NV,Reno
RSW, Southwest Florida International, FL,Fort Myers
SAN, San Diego International, CA,San Diego
SAT, San Antonio International, TX,San Antonio
SBA, Santa Barbara Municipal, CA,Santa Barbara
SEA, Seattle/Tacoma International, WA,Seattle
SFO, San Francisco International, CA,San Francisco
SJC, Norman Y. Mineta San Jose International, CA,San Jose
SJU, Luis Munoz Marin International, PR,San Juan
SLC, Salt Lake City International, UT,Salt Lake City
SMF, Sacramento International, CA,Sacramento
SNA, John Wayne Airport-Orange County, CA,Santa Ana
SRQ, Sarasota/Bradenton International, FL,Sarasota/Bradenton
STT, Cyril E King, VI,Charlotte Amalie
STX, Henry E. Rohlsen, VI,Christiansted
TPA, Tampa International, FL,Tampa
TUL, Tulsa International, OK,Tulsa
TUS, Tucson International, AZ,Tucson
VPS, Eglin AFB Destin Fort Walton Beach, FL,Valparaiso
ADK, Adak, AK,Adak Island
ADQ, Kodiak Airport, AK,Kodiak
AKN, King Salmon Airport, AK,King Salmon
BET, Bethel Airport, AK,Bethel
BRW, Wiley Post/Will Rogers Memorial, AK,Barrow
CDV, Merle K Mudhole Smith, AK,Cordova
DAL, Dallas Love Field, TX,Dallas
DLG, Dillingham Airport, AK,Dillingham
FAI, Fairbanks International, AK,Fairbanks
GST, Gustavus Airport, AK,Gustavus
JNU, Juneau International, AK,Juneau
KTN, Ketchikan International, AK,Ketchikan
OAK, Metropolitan Oakland International, CA,Oakland
OME, Nome Airport, AK,Nome
OTZ, Ralph Wien Memorial, AK,Kotzebue
PAE, Snohomish County, WA,Everett
PSG, Petersburg James A Johnson, AK,Petersburg
SCC, Deadhorse Airport, AK,Deadhorse
SIT, Sitka Rocky Gutierrez, AK,Sitka
WRG, Wrangell Airport, AK,Wrangell
YAK, Yakutat Airport, AK,Yakutat
BQN, Rafael Hernandez, PR,Aguadilla
HYA, Barnstable Municipal-Boardman/Polando Field, MA,Hyannis
MVY, Martha's Vineyard Airport, MA,Martha's Vineyard
PSE, Mercedita, PR,Ponce
BIL, Billings Logan International, MT,Billings
DAB, Daytona Beach International, FL,Daytona Beach
ECP, Northwest Florida Beaches International, FL,Panama City
FAR, Hector International, ND,Fargo
GRB, Green Bay Austin Straubel International, WI,Green Bay
HOU, William P Hobby, TX,Houston
HSV, Huntsville International-Carl T Jones Field, AL,Huntsville
IDA, Idaho Falls Regional, ID,Idaho Falls
JAN, Jackson Medgar Wiley Evers International, MS,Jackson/Vicksburg
MDW, Chicago Midway International, IL,Chicago
MLB, Melbourne International, FL,Melbourne
BIS, Bismarck Municipal, ND,Bismarck/Mandan
BKG, Branson Airport, MO,Branson
DRO, Durango La Plata County, CO,Durango
GJT, Grand Junction Regional, CO,Grand Junction
HRL, Valley International, TX,Harlingen/San Benito
ILG, New Castle, DE,Wilmington
ISP, Long Island MacArthur, NY,Islip
SWF, New York Stewart International, NY,Newburgh/Poughkeepsie
TTN, Trenton Mercer, NJ,Trenton
AZA, Phoenix - Mesa Gateway, AZ,Phoenix
BLI, Bellingham International, WA,Bellingham
BLV, Scott AFB/MidAmerica, IL,Belleville
CAK, Akron-Canton Regional, OH,Akron
CKB, North Central West Virginia, WV,Clarksburg/Fairmont
ELM, Elmira/Corning Regional, NY,Elmira/Corning
FNT, Bishop International, MI,Flint
GFK, Grand Forks International, ND,Grand Forks
GRI, Central Nebraska Regional, NE,Grand Island
GTF, Great Falls International, MT,Great Falls
HGR, Hagerstown Regional-Richard A. Henson Field, MD,Hagerstown
HTS, Tri-State/Milton J. Ferguson Field, WV,Ashland
IAG, Niagara Falls International, NY,Niagara Falls
LCK, Rickenbacker International, OH,Columbus
LRD, Laredo International, TX,Laredo
MFR, Rogue Valley International - Medford, OR,Medford
MRY, Monterey Regional, CA,Monterey
OWB, Owensboro Daviess County Regional, KY,Owensboro
PBG, Plattsburgh International, NY,Plattsburgh
PGD, Punta Gorda Airport, FL,Punta Gorda
PIA, General Downing - Peoria International, IL,Peoria
PIE, St Pete Clearwater International, FL,St. Petersburg
PSC, Tri Cities, WA,Pasco/Kennewick/Richland
PSM, Portsmouth International at Pease, NH,Portsmouth
PVU, Provo Municipal, UT,Provo
RAP, Rapid City Regional, SD,Rapid City
RDM, Roberts Field, OR,Bend/Redmond
RFD, Chicago/Rockford International, IL,Rockford
SCE, University Park, PA,State College
SCK, Stockton Metropolitan, CA,Stockton
SFB, Orlando Sanford International, FL,Sanford
SMX, Santa Maria Public/Capt. G. Allan Hancock Field, CA,Santa Maria
SPI, Abraham Lincoln Capital, IL,Springfield
STC, St. Cloud Regional, MN,St. Cloud
TOL, Toledo Express, OH,Toledo
USA, Concord Padgett Regional, NC,Concord
ITO, Hilo International, HI,Hilo
LGB, Long Beach Airport, CA,Long Beach
PPG, Pago Pago International, TT,Pago Pago
ABI, Abilene Regional, TX,Abilene
ACT, Waco Regional, TX,Waco
ALO, Waterloo Regional, IA,Waterloo
BFL, Meadows Field, CA,Bakersfield
BPT, Jack Brooks Regional, TX,Beaumont/Port Arthur
BRO, Brownsville South Padre Island International, TX,Brownsville
CLL, Easterwood Field, TX,College Station/Bryan
CMI, University of Illinois/Willard, IL,Champaign/Urbana
COU, Columbia Regional, MO,Columbia
CRP, Corpus Christi International, TX,Corpus Christi
DBQ, Dubuque Regional, IA,Dubuque
DRT, Del Rio International, TX,Del Rio
FSM, Fort Smith Regional, AR,Fort Smith
GCK, Garden City Regional, KS,Garden City
GGG, East Texas Regional, TX,Longview
GRK, Robert Gray AAF, TX,Killeen
HHH, Hilton Head Airport, SC,Hilton Head
LAW, Lawton-Fort Sill Regional, OK,Lawton/Fort Sill
LCH, Lake Charles Regional, LA,Lake Charles
LSE, La Crosse Regional, WI,La Crosse
MAF, Midland International Air and Space Port, TX,Midland/Odessa
MHK, Manhattan Regional, KS,Manhattan/Ft. Riley
MQT, Sawyer International, MI,Marquette
SBP, San Luis County Regional, CA,San Luis Obispo
SJT, San Angelo Regional/Mathis Field, TX,San Angelo
SPS, Sheppard AFB/Wichita Falls Municipal, TX,Wichita Falls
STS, Charles M. Schulz - Sonoma County, CA,Santa Rosa
SWO, Stillwater Regional, OK,Stillwater
TXK, Texarkana Regional-Webb Field, AR,Texarkana
TYR, Tyler Pounds Regional, TX,Tyler
ACY, Atlantic City International, NJ,Atlantic City
LBE, Arnold Palmer Regional, PA,Latrobe
MHT, Manchester-Boston Regional, NH,Manchester
EWN, Coastal Carolina Regional, NC,New Bern/Morehead/Beaufort
LYH, Lynchburg Regional/Preston Glenn Field, VA,Lynchburg
PHF, Newport News/Williamsburg International, VA,Newport News/Williamsburg
ABR, Aberdeen Regional, SD,Aberdeen
ACV, California Redwood Coast Humboldt County, CA,Arcata/Eureka
ALS, San Luis Valley Regional/Bergman Field, CO,Alamosa
APN, Alpena County Regional, MI,Alpena
ASE, Aspen Pitkin County Sardy Field, CO,Aspen
BFF, Western Neb. Regional/William B. Heilig Field, NE,Scottsbluff
BJI, Bemidji Regional, MN,Bemidji
BRD, Brainerd Lakes Regional, MN,Brainerd
BTM, Bert Mooney, MT,Butte
CDC, Cedar City Regional, UT,Cedar City
CGI, Cape Girardeau Regional, MO,Cape Girardeau
CIU, Chippewa County International, MI,Sault Ste. Marie
CMX, Houghton County Memorial, MI,Hancock/Houghton
CNY, Canyonlands Field, UT,Moab
COD, Yellowstone Regional, WY,Cody
CPR, Casper/Natrona County International, WY,Casper
CYS, Cheyenne Regional/Jerry Olson Field, WY,Cheyenne
DDC, Dodge City Regional, KS,Dodge City
DEC, Decatur Airport, IL,Decatur
DIK, Dickinson - Theodore Roosevelt Regional, ND,Dickinson
DVL, Devils Lake Regional, ND,Devils Lake
EAR, Kearney Regional, NE,Kearney
EAU, Chippewa Valley Regional, WI,Eau Claire
EKO, Elko Regional, NV,Elko
ESC, Delta County, MI,Escanaba
FLG, Flagstaff Pulliam, AZ,Flagstaff
FOD, Fort Dodge Regional, IA,Fort Dodge
GCC, Gillette Campbell County, WY,Gillette
GUC, Gunnison-Crested Butte Regional, CO,Gunnison
HDN, Yampa Valley, CO,Hayden
HIB, Range Regional, MN,Hibbing
HLN, Helena Regional, MT,Helena
HOB, Lea County Regional, NM,Hobbs
HYS, Hays Regional, KS,Hays
IMT, Ford, MI,Iron Mountain/Kingsfd
INL, Falls International Einarson Field, MN,International Falls
JLN, Joplin Regional, MO,Joplin
JMS, Jamestown Regional, ND,Jamestown
JST, John Murtha Johnstown-Cambria County, PA,Johnstown
LAR, Laramie Regional, WY,Laramie
LBF, North Platte Regional Airport Lee Bird Field, NE,North Platte
LBL, Liberal Mid-America Regional, KS,Liberal
LNK, Lincoln Airport, NE,Lincoln
LWB, Greenbrier Valley, WV,Lewisburg
LWS, Lewiston Nez Perce County, ID,Lewiston
MCW, Mason City Municipal, IA,Mason City
MEI, Key Field, MS,Meridian
MKG, Muskegon County, MI,Muskegon
MTJ, Montrose Regional, CO,Montrose/Delta
OGS, Ogdensburg International, NY,Ogdensburg
OTH, Southwest Oregon Regional, OR,North Bend/Coos Bay
PAH, Barkley Regional, KY,Paducah
PIB, Hattiesburg-Laurel Regional, MS,Hattiesburg/Laurel
PIH, Pocatello Regional, ID,Pocatello
PLN, Pellston Regional Airport of Emmet County, MI,Pellston
PRC, Prescott Regional Ernest A Love Field, AZ,Prescott
PUB, Pueblo Memorial, CO,Pueblo
RDD, Redding Municipal, CA,Redding
RHI, Rhinelander/Oneida County, WI,Rhinelander
RIW, Riverton Regional, WY,Riverton/Lander
RKS, Southwest Wyoming Regional, WY,Rock Springs
ROW, Roswell International Air Center, NM,Roswell
SAF, Santa Fe Municipal, NM,Santa Fe
SGU, St George Regional, UT,St. George
SHD, Shenandoah Valley Regional, VA,Staunton
SHR, Sheridan County, WY,Sheridan
SLN, Salina Regional, KS,Salina
SUN, Friedman Memorial, ID,Sun Valley/Hailey/Ketchum
SUX, Sioux Gateway Brig Gen Bud Day Field, IA,Sioux City
TBN, Waynesville-St. Robert Regional Forney Field, MO,Fort Leonard Wood
TWF, Joslin Field - Magic Valley Regional, ID,Twin Falls
VCT, Victoria Regional, TX,Victoria
VEL, Vernal Regional, UT,Vernal
WYS, Yellowstone, MT,West Yellowstone
XWA, Williston Basin International, ND,Williston
YUM, Yuma MCAS/Yuma International, AZ,Yuma
ALW, Walla Walla Regional, WA,Walla Walla
EAT, Pangborn Memorial, WA,Wenatchee
PUW, Pullman Moscow Regional, WA,Pullman
YKM, Yakima Air Terminal/McAllister Field, WA,Yakima
GUM, Guam International, TT,Guam
SPN, Francisco C. Ada Saipan International, TT,Saipan
JAC, Jackson Hole, WY,Jackson
OGD, Ogden-Hinckley, UT,Ogden
ERI, Erie International/Tom Ridge Field, PA,Erie
BIH, Bishop Airport, CA,Bishop
ATY, Watertown Regional, SD,Watertown
PIR, Pierre Regional, SD,Pierre
HVN, Tweed New Haven, CT,New Haven
CDB, Cold Bay Airport, AK,Cold Bay
IPT, Williamsport Regional, PA,Williamsport
BFM, Mobile Downtown, AL,Mobile
MMH, Mammoth Lakes Airport, CA,Mammoth Lakes
UIN, Quincy Regional-Baldwin Field, IL,Quincy
PGV, Pitt Greenville, NC,Greenville
ISN, Sloulin Field International, ND,Williston
ART, Watertown International, NY,Watertown
YNG, Youngstown-Warren Regional, OH,Youngstown/Warren
IFP, Laughlin/Bullhead International, AZ,Bullhead City
FNL, Northern Colorado Regional, CO,Fort Collins/Loveland
UST, Northeast Florida Regional, FL,St. Augustine
TKI, Tokeen Airport, AK,Tokeen
ENV, Wendover Airport, UT,Wendover
EFD, Ellington, TX,Houston
CLD, McClellan-Palomar, CA,Carlsbad
CEC, Jack McNamara Field, CA,Crescent City
MCN, Middle Georgia Regional, GA,Macon
CIC, Chico Municipal, CA,Chico
FOE, Topeka Regional, KS,Topeka
LMT, Crater Lake Klamath Regional, OR,Klamath Falls
MOD, Modesto City-County-Harry Sham Field, CA,Modesto
IYK, Inyokern Airport, CA,Inyokern
IPL, Imperial County, CA,El Centro
TUP, Tupelo Regional, MS,Tupelo
UTM, Tunica Municipal, MS,Tunica
TEX, Telluride Regional, CO,Telluride
FLO, Florence Regional, SC,Florence
MWH, Grant County International, WA,Moses Lake
OXR, Oxnard, CA,Oxnard/Ventura
PFN, Bay County, FL,Panama City
PMD, Palmdale USAF Plant 42, CA,Palmdale
SLE, McNary Field, OR,Salem
SOP, Moore County, NC,Pinehurst/Southern Pines
APF, Naples Municipal, FL,Naples
MTH, The Florida Keys Marathon International, FL,Marathon
MKC, Charles B. Wheeler Downtown, MO,Kansas City
GLH, Greenville Mid Delta, MS,Greenville
ISO, Kinston Regional Jetport at Stallings Field, NC,Kinston
RCA, Ellsworth AFB, SD,Rapid City
HKY, Hickory Regional, NC,Hickory
VIS, Visalia Municipal, CA,Visalia
FMN, Four Corners Regional, NM,Farmington
LNY, Lanai Airport, HI,Lanai
MKK, Molokai, HI,Hoolehua
ILE, Skylark Field, TX,Killeen
SKA, Fairchild AFB, WA,Spokane
CBM, Columbus AFB, MS,Columbus
DUT, Unalaska Airport, AK,Unalaska
